Block_Size, Speed, loops, Transfer Size
8, 3.32721 Mpbs, 1000000, 30.5176 MB
16, 5.84967 Mpbs, 1000000, 61.0352 MB
32, 9.49121 Mpbs, 1000000, 122.07 MB
64, 13.7979 Mpbs, 1000000, 244.141 MB
128, 17.9002 Mpbs, 100000, 48.8281 MB
256, 20.6602 Mpbs, 100000, 97.6562 MB
512, 18.9406 Mpbs, 100000, 195.312 MB
1024, 21.5062 Mpbs, 10000, 39.0625 MB
2048, 22.8843 Mpbs, 10000, 78.125 MB
4096, 24.3264 Mpbs, 10000, 156.25 MB
8192, 24.4662 Mpbs, 10000, 312.5 MB
16384, 24.4072 Mpbs, 1000, 62.5 MB
32768, 24.4706 Mpbs, 1000, 125 MB
65536, 24.273 Mpbs, 500, 125 MB
131072, 24.2638 Mpbs, 500, 250 MB
262144, 24.1389 Mpbs, 250, 250 MB
