Block_Size, Speed, loops, Transfer Size
8, 2.39301 Mpbs, 1000000, 30.5176 MB
16, 3.6795 Mpbs, 1000000, 61.0352 MB
32, 5.04686 Mpbs, 1000000, 122.07 MB
64, 6.28719 Mpbs, 1000000, 244.141 MB
128, 7.15012 Mpbs, 100000, 48.8281 MB
256, 6.7038 Mpbs, 100000, 97.6562 MB
512, 7.37066 Mpbs, 100000, 195.312 MB
1024, 7.74679 Mpbs, 10000, 39.0625 MB
2048, 7.8788 Mpbs, 10000, 78.125 MB
4096, 7.98131 Mpbs, 10000, 156.25 MB
8192, 8.03482 Mpbs, 10000, 312.5 MB
16384, 8.05559 Mpbs, 1000, 62.5 MB
32768, 8.06526 Mpbs, 1000, 125 MB
65536, 8.05653 Mpbs, 100, 25 MB
131072, 8.06908 Mpbs, 100, 50 MB
